"Heart Rate","RR","P Wave Duration","PR Segment","PR Interval","QRS Interval","T Wave Duration","ST Segment","QT Interval","QT Corrected (Bazett)",
92.5926,648,64,48,112,76,172,72,320,397.523,
90.3614,664,72,48,120,76,176,64,316,387.796,
89.8204,668,76,44,120,72,176,68,316,386.633,
92.5926,648,76,44,120,76,172,68,316,392.554,
92.5926,648,76,44,120,76,172,72,320,397.523,
92.0245,652,68,48,116,72,176,68,316,391.348,
91.4634,656,80,44,124,72,176,68,316,390.153,
92.0245,652,80,44,124,76,172,68,316,391.348,
90.9091,660,72,48,120,72,168,72,312,384.045,
90.3614,664,76,44,120,76,172,68,316,387.796,
89.8204,668,80,44,124,76,176,68,320,391.527,
89.2857,672,76,44,120,72,172,72,316,385.481,
89.2857,672,72,48,120,72,176,68,316,385.481,
89.8204,668,84,48,132,76,176,64,316,386.633,
89.8204,668,76,44,120,80,176,64,320,391.527,
90.3614,664,76,44,120,72,172,72,316,387.796,
90.3614,664,80,44,124,76,172,68,316,387.796,
90.3614,664,72,48,120,72,176,68,316,387.796,
91.4634,656,80,48,128,72,172,72,316,390.153,
92.5926,648,72,48,120,72,172,72,316,392.554,
92.0245,652,68,48,116,72,172,72,316,391.348,
91.4634,656,80,48,128,76,180,64,320,395.092,
92.0245,652,76,48,124,76,176,68,320,396.302,
92.0245,652,68,48,116,72,172,72,316,391.348,
92.5926,648,76,48,124,72,176,68,316,392.554,
90.9091,660,72,48,120,76,180,64,320,393.893,
90.3614,664,76,48,124,72,172,72,316,387.796,
90.3614,664,68,44,112,76,172,72,320,392.705,
